Reporting Area,MMWR Year,MMWR Week,"Rabies, Animal, Current week","Rabies, Animal, Current week, flag","Rabies, Animal, Previous 52 weeks Max†","Rabies, Animal, Previous 52 weeks Max†, flag","Rabies, Animal, Cum 2021†","Rabies, Animal, Cum 2021†, flag","Rabies, Animal, Cum 2020†","Rabies, Animal, Cum 2020†, flag","Rabies, Human, Current week","Rabies, Human, Current week, flag","Rabies, Human, Previous 52 weeks Max†","Rabies, Human, Previous 52 weeks Max†, flag","Rabies, Human, Cum 2021†","Rabies, Human, Cum 2021†, flag","Rabies, Human, Cum 2020†","Rabies, Human, Cum 2020†, flag",Location 1,Location 2,Reporting Area Sort,geocode
CALIFORNIA,2021,10,,-,13,,,-,17,,,-,0,,,-,,-,CALIFORNIA,,20211059,POINT (-119.662127 37.211164)
WEST VIRGINIA,2021,10,,-,5,,1,,3,,,-,0,,,-,,-,WEST VIRGINIA,,20211037,POINT (-80.613729 38.642579)
FLORIDA,2021,10,,-,4,,15,,77,,,-,0,,,-,,-,FLORIDA,,20211031,POINT (-82.420978 28.260731)
MONTANA,2021,10,,-,2,,,-,1,,,-,0,,,-,,-,MONTANA,,20211052,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2021,10,,-,4,,2,,1,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20211020,
MASSACHUSETTS,2021,10,,-,0,,,-,,-,,-,0,,,-,,-,MASSACHUSETTS,,20211005,POINT (-71.481104 42.151077)
MOUNTAIN,2021,10,,-,11,,,-,5,,,-,0,,,-,,-,,MOUNTAIN,20211048,
INDIANA,2021,10,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20211016,POINT (-86.2818 39.919991)
US TERRITORIES,2021,10,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20211063,
NEW ENGLAND,2021,14,1,,12,,18,,24,,,-,0,,,-,,-,,NEW ENGLAND,20211402,
RHODE ISLAND,2021,14,,-,12,,1,,,-,,-,0,,,-,,-,RHODE ISLAND,,20211407,POINT (-71.534637 41.572574)
OREGON,2021,14,,-,2,,,-,,-,,-,0,,,-,,-,OREGON,,20211461,POINT (-120.605279 43.940449)
DELAWARE,2021,14,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20211429,POINT (-75.452394 38.994926)
ALABAMA,2021,14,,-,4,,2,,13,,,-,0,,,-,,-,ALABAMA,,20211439,POINT (-86.844516 32.756889)
KANSAS,2021,14,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20211422,POINT (-98.38018 38.484729)
NORTH CAROLINA,2021,14,4,,11,,58,,71,,,-,0,,,-,,-,NORTH CAROLINA,,20211434,POINT (-79.130883 35.52603)
GUAM,2021,14,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20211466,POINT (144.653198 13.3532)
NEW JERSEY,2021,14,,-,0,,,-,,-,,-,0,,,-,,-,NEW JERSEY,,20211410,POINT (-74.655514 40.110253)
NEW MEXICO,2021,14,,-,1,,,-,2,,,-,0,,,-,,-,NEW MEXICO,,20211454,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2021,14,,-,14,,2,,7,,,-,0,,,-,,-,,EAST NORTH CENTRAL,20211414,
TENNESSEE,2021,14,,-,0,,,-,,-,,-,0,,,-,,-,TENNESSEE,,20211442,POINT (-86.343226 35.842998)
CONNECTICUT,2021,14,,-,0,,,-,,-,,-,0,,,-,,-,CONNECTICUT,,20211403,POINT (-72.738288 41.575155)
MARYLAND,2021,14,,-,0,,,-,,-,,-,0,,,-,,-,MARYLAND,,20211433,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2021,14,,N,,NC,,N,,N,,-,0,,,-,,-,SOUTH CAROLINA,,20211435,POINT (-80.864614 33.878572)
OKLAHOMA,2021,14,,-,18,,3,,2,,,-,0,,,-,,-,OKLAHOMA,,20211446,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2021,14,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20211465,POINT (145.725693 15.1834)
OHIO,2021,14,,-,3,,1,,2,,,-,0,,,-,,-,OHIO,,20211418,POINT (-82.70936 40.415534)
MINNESOTA,2021,14,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20211423,POINT (-94.198308 46.349153)
TOTAL,2021,11,12,,54,,147,,261,,,-,0,,,-,,-,,TOTAL,20211170,
US RESIDENTS,2021,11,12,,54,,147,,261,,,-,0,,,-,,-,,US RESIDENTS,20211101,
NEW HAMPSHIRE,2021,11,,-,4,,1,,4,,,-,0,,,-,,-,NEW HAMPSHIRE,,20211106,POINT (-71.57139 43.680429)
NEW YORK,2021,11,2,,6,,35,,,-,,-,0,,,-,,-,NEW YORK,,20211111,POINT (-75.59655 42.921241)
PACIFIC,2021,11,,-,14,,,-,22,,,-,0,,,-,,-,,PACIFIC,20211157,
NEBRASKA,2021,11,,-,4,,1,,1,,,-,0,,,-,,-,NEBRASKA,,20211125,POINT (-99.810595 41.527099)
NORTH DAKOTA,2021,11,,-,0,,,-,,-,,-,0,,,-,,-,NORTH DAKOTA,,20211126,POINT (-100.46931 47.446305)
NEVADA,2021,11,,-,4,,,-,,-,,-,0,,,-,,-,NEVADA,,20211153,POINT (-114.916992 39.283294)
LOUISIANA,2021,14,,-,0,,,-,,-,,-,0,,,-,,-,LOUISIANA,,20211445,POINT (-91.840238 30.921314)
HAWAII,2021,14,,-,0,,,-,,-,,-,0,,,-,,-,HAWAII,,20211460,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2021,14,4,,12,,80,,151,,,-,0,,,-,,-,,SOUTH ATLANTIC,20211428,
PENNSYLVANIA,2021,14,,-,0,,,-,,-,,-,0,,,-,,-,PENNSYLVANIA,,20211413,POINT (-77.838886 40.896694)
UTAH,2021,14,,-,3,,,-,,-,,-,0,,,-,,-,UTAH,,20211455,POINT (-111.678222 39.323779)
COLORADO,2021,14,,-,0,,,-,,-,,-,0,,,-,,-,COLORADO,,20211450,POINT (-105.547832 38.998552)
VERMONT,2021,14,,-,0,,,-,,-,,-,0,,,-,,-,VERMONT,,20211408,POINT (-72.662695 44.075252)
KENTUCKY,2021,14,,-,5,,,-,1,,,-,0,,,-,,-,KENTUCKY,,20211440,POINT (-85.290484 37.526683)
PUERTO RICO,2021,14,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20211467,POINT (-66.414655 18.215692)
MAINE,2021,14,1,,6,,13,,20,,,-,0,,,-,,-,MAINE,,20211404,POINT (-69.06137 45.117911)
VIRGINIA,2021,14,,-,0,,,-,,-,,-,0,,,-,,-,VIRGINIA,,20211436,POINT (-78.666382 37.510861)
ARIZONA,2021,14,,N,,NC,,N,,N,,-,0,,,-,,-,ARIZONA,,20211449,POINT (-111.664616 34.293239)
TOTAL,2021,9,21,,62,,109,,281,,,-,0,,,-,,-,,TOTAL,20210970,
US RESIDENTS,2021,9,21,,62,,109,,281,,,-,0,,,-,,-,,US RESIDENTS,20210901,
NEW HAMPSHIRE,2021,9,,-,4,,1,,3,,,-,0,,,-,,-,NEW HAMPSHIRE,,20210906,POINT (-71.57139 43.680429)
NEW YORK,2021,9,4,,26,,30,,71,,,-,0,,,-,,-,NEW YORK,,20210911,POINT (-75.59655 42.921241)
PACIFIC,2021,9,,-,13,,,-,14,,,-,0,,,-,,-,,PACIFIC,20210957,
WEST SOUTH CENTRAL,2021,9,4,,33,,20,,44,,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20210943,
NEBRASKA,2021,9,,-,4,,1,,,-,,-,0,,,-,,-,NEBRASKA,,20210925,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2021,9,,-,6,,1,,7,,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20210938,
NORTH DAKOTA,2021,9,,-,0,,,-,,-,,-,0,,,-,,-,NORTH DAKOTA,,20210926,POINT (-100.46931 47.446305)
NEVADA,2021,9,,-,2,,,-,,-,,-,0,,,-,,-,NEVADA,,20210953,POINT (-114.916992 39.283294)
ILLINOIS,2021,9,1,,6,,1,,2,,,-,0,,,-,,-,ILLINOIS,,20210915,POINT (-89.148632 40.124144)
IOWA,2021,9,,-,0,,,-,,-,,-,0,,,-,,-,IOWA,,20210921,POINT (-93.500061 42.074659)
TEXAS,2021,9,4,,33,,17,,38,,,-,0,,,-,,-,TEXAS,,20210947,POINT (-99.317341 31.447238)
ALASKA,2021,9,,-,0,,,-,,-,,-,0,,,-,,-,ALASKA,,20210958,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2021,9,,-,0,,,-,,-,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20210930,POINT (-77.016275 38.904785)
WASHINGTON,2021,9,,-,0,,,-,,-,,-,0,,,-,,-,WASHINGTON,,20210962,POINT (-120.592492 47.411715)
NEW ENGLAND,2021,9,,-,12,,9,,15,,,-,0,,,-,,-,,NEW ENGLAND,20210902,
RHODE ISLAND,2021,9,,-,12,,1,,,-,,-,0,,,-,,-,RHODE ISLAND,,20210907,POINT (-71.534637 41.572574)
OREGON,2021,9,,-,2,,,-,,-,,-,0,,,-,,-,OREGON,,20210961,POINT (-120.605279 43.940449)
DELAWARE,2021,9,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20210929,POINT (-75.452394 38.994926)
ALABAMA,2021,9,,-,4,,1,,5,,,-,0,,,-,,-,ALABAMA,,20210939,POINT (-86.844516 32.756889)
KANSAS,2021,9,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20210922,POINT (-98.38018 38.484729)
NORTH CAROLINA,2021,9,8,,11,,31,,42,,,-,0,,,-,,-,NORTH CAROLINA,,20210934,POINT (-79.130883 35.52603)
GUAM,2021,9,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20210966,POINT (144.653198 13.3532)
NEW JERSEY,2021,9,,-,0,,,-,,-,,-,0,,,-,,-,NEW JERSEY,,20210910,POINT (-74.655514 40.110253)
NEW MEXICO,2021,9,,-,1,,,-,2,,,-,0,,,-,,-,NEW MEXICO,,20210954,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2021,9,1,,14,,2,,3,,,-,0,,,-,,-,,EAST NORTH CENTRAL,20210914,
TENNESSEE,2021,9,,-,0,,,-,,-,,-,0,,,-,,-,TENNESSEE,,20210942,POINT (-86.343226 35.842998)
CONNECTICUT,2021,9,,-,0,,,-,,-,,-,0,,,-,,-,CONNECTICUT,,20210903,POINT (-72.738288 41.575155)
MARYLAND,2021,9,,-,0,,,-,,-,,-,0,,,-,,-,MARYLAND,,20210933,POINT (-76.687282 38.946466)
HAWAII,2021,9,,-,0,,,-,,-,,-,0,,,-,,-,HAWAII,,20210960,POINT (-157.854309 21.361013)
AMERICAN SAMOA,2021,14,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20211464,
WISCONSIN,2021,14,,-,0,,,-,,-,,-,0,,,-,,-,WISCONSIN,,20211419,POINT (-89.732969 44.639954)
IDAHO,2021,14,,-,0,,,-,,-,,-,0,,,-,,-,IDAHO,,20211451,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2021,14,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20211468,POINT (-64.840836 18.060868)
MICHIGAN,2021,14,,-,6,,,-,2,,,-,0,,,-,,-,MICHIGAN,,20211417,POINT (-85.730977 44.874798)
GEORGIA,2021,14,,-,0,,,-,,-,,-,0,,,-,,-,GEORGIA,,20211432,POINT (-83.426574 32.638481)
NEW YORK CITY,2021,14,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY,20211412,
SOUTH CAROLINA,2021,9,,N,,NC,,N,,N,,-,0,,,-,,-,SOUTH CAROLINA,,20210935,POINT (-80.864614 33.878572)
OKLAHOMA,2021,9,,-,1,,2,,2,,,-,0,,,-,,-,OKLAHOMA,,20210946,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2021,9,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20210965,POINT (145.725693 15.1834)
OHIO,2021,9,,-,3,,1,,,-,,-,0,,,-,,-,OHIO,,20210918,POINT (-82.70936 40.415534)
MINNESOTA,2021,9,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20210923,POINT (-94.198308 46.349153)
LOUISIANA,2021,9,,-,0,,,-,,-,,-,0,,,-,,-,LOUISIANA,,20210945,POINT (-91.840238 30.921314)
SOUTH ATLANTIC,2021,9,12,,12,,45,,122,,,-,0,,,-,,-,,SOUTH ATLANTIC,20210928,
PENNSYLVANIA,2021,9,,-,0,,,-,,-,,-,0,,,-,,-,PENNSYLVANIA,,20210913,POINT (-77.838886 40.896694)
UTAH,2021,9,,-,3,,,-,,-,,-,0,,,-,,-,UTAH,,20210955,POINT (-111.678222 39.323779)
COLORADO,2021,9,,-,0,,,-,,-,,-,0,,,-,,-,COLORADO,,20210950,POINT (-105.547832 38.998552)
VERMONT,2021,9,,-,0,,,-,,-,,-,0,,,-,,-,VERMONT,,20210908,POINT (-72.662695 44.075252)
KENTUCKY,2021,9,,-,5,,,-,1,,,-,0,,,-,,-,KENTUCKY,,20210940,POINT (-85.290484 37.526683)
PUERTO RICO,2021,9,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20210967,POINT (-66.414655 18.215692)
MAINE,2021,9,,-,6,,7,,12,,,-,0,,,-,,-,MAINE,,20210904,POINT (-69.06137 45.117911)
VIRGINIA,2021,9,,-,0,,,-,,-,,-,0,,,-,,-,VIRGINIA,,20210936,POINT (-78.666382 37.510861)
ARIZONA,2021,9,,N,,NC,,N,,N,,-,0,,,-,,-,ARIZONA,,20210949,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2021,9,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20210964,
WISCONSIN,2021,9,,-,0,,,-,,-,,-,0,,,-,,-,WISCONSIN,,20210919,POINT (-89.732969 44.639954)
IDAHO,2021,9,,-,0,,,-,,-,,-,0,,,-,,-,IDAHO,,20210951,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2021,9,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20210968,POINT (-64.840836 18.060868)
MICHIGAN,2021,9,,-,6,,,-,1,,,-,0,,,-,,-,MICHIGAN,,20210917,POINT (-85.730977 44.874798)
GEORGIA,2021,9,,-,0,,,-,,-,,-,0,,,-,,-,GEORGIA,,20210932,POINT (-83.426574 32.638481)
NEW YORK CITY,2021,9,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY,20210912,
ARKANSAS,2021,9,,-,3,,1,,4,,,-,0,,,-,,-,ARKANSAS,,20210944,POINT (-92.439162 34.899825)
MISSISSIPPI,2021,9,,-,0,,,-,1,,,-,0,,,-,,-,MISSISSIPPI,,20210941,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2021,9,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20210927,POINT (-100.230491 44.43614)
WYOMING,2021,9,,-,5,,,-,1,,,-,0,,,-,,-,WYOMING,,20210956,POINT (-107.55145 42.999627)
MISSOURI,2021,9,,-,3,,1,,1,,,-,0,,,-,,-,MISSOURI,,20210924,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2021,9,4,,26,,30,,71,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20210909,
CALIFORNIA,2021,9,,-,12,,,-,14,,,-,0,,,-,,-,CALIFORNIA,,20210959,POINT (-119.662127 37.211164)
WEST VIRGINIA,2021,9,1,,5,,1,,3,,,-,0,,,-,,-,WEST VIRGINIA,,20210937,POINT (-80.613729 38.642579)
FLORIDA,2021,9,3,,3,,13,,77,,,-,0,,,-,,-,FLORIDA,,20210931,POINT (-82.420978 28.260731)
MONTANA,2021,9,,-,2,,,-,1,,,-,0,,,-,,-,MONTANA,,20210952,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2021,9,,-,4,,2,,1,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20210920,
MASSACHUSETTS,2021,9,,-,0,,,-,,-,,-,0,,,-,,-,MASSACHUSETTS,,20210905,POINT (-71.481104 42.151077)
MOUNTAIN,2021,9,,-,9,,,-,4,,,-,0,,,-,,-,,MOUNTAIN,20210948,
INDIANA,2021,9,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20210916,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2021,9,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20210969,
US TERRITORIES,2021,9,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20210963,
ARKANSAS,2021,14,1,,3,,6,,5,,,-,0,,,-,,-,ARKANSAS,,20211444,POINT (-92.439162 34.899825)
MISSISSIPPI,2021,14,,-,0,,,-,1,,,-,0,,,-,,-,MISSISSIPPI,,20211441,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2021,14,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20211427,POINT (-100.230491 44.43614)
WYOMING,2021,14,,-,5,,,-,5,,,-,0,,,-,,-,WYOMING,,20211456,POINT (-107.55145 42.999627)
MISSOURI,2021,14,,-,3,,1,,1,,,-,0,,,-,,-,MISSOURI,,20211424,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2021,14,6,,6,,43,,,-,,-,0,,,-,,-,,MIDDLE ATLANTIC,20211409,
CALIFORNIA,2021,14,,-,13,,,-,43,,,-,0,,,-,,-,CALIFORNIA,,20211459,POINT (-119.662127 37.211164)
WEST VIRGINIA,2021,14,,-,5,,1,,3,,,-,0,,,-,,-,WEST VIRGINIA,,20211437,POINT (-80.613729 38.642579)
FLORIDA,2021,14,,-,10,,21,,77,,,-,0,,,-,,-,FLORIDA,,20211431,POINT (-82.420978 28.260731)
MONTANA,2021,14,,-,2,,,-,1,,,-,0,,,-,,-,MONTANA,,20211452,POINT (-109.645127 47.033521)
ILLINOIS,2021,11,,-,6,,1,,2,,,-,0,,,-,,-,ILLINOIS,,20211115,POINT (-89.148632 40.124144)
IOWA,2021,11,,-,0,,,-,,-,,-,0,,,-,,-,IOWA,,20211121,POINT (-93.500061 42.074659)
TEXAS,2021,11,3,,33,,32,,56,,,-,0,,,-,,-,TEXAS,,20211147,POINT (-99.317341 31.447238)
ALASKA,2021,11,,-,0,,,-,,-,,-,0,,,-,,-,ALASKA,,20211158,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2021,11,,-,0,,,-,,-,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20211130,POINT (-77.016275 38.904785)
WASHINGTON,2021,11,,-,0,,,-,,-,,-,0,,,-,,-,WASHINGTON,,20211162,POINT (-120.592492 47.411715)
NEW ENGLAND,2021,11,1,,12,,11,,19,,,-,0,,,-,,-,,NEW ENGLAND,20211102,
RHODE ISLAND,2021,11,,-,12,,1,,,-,,-,0,,,-,,-,RHODE ISLAND,,20211107,POINT (-71.534637 41.572574)
OREGON,2021,11,,-,2,,,-,,-,,-,0,,,-,,-,OREGON,,20211161,POINT (-120.605279 43.940449)
DELAWARE,2021,11,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20211129,POINT (-75.452394 38.994926)
ALABAMA,2021,11,,-,4,,2,,9,,,-,0,,,-,,-,ALABAMA,,20211139,POINT (-86.844516 32.756889)
KANSAS,2021,11,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20211122,POINT (-98.38018 38.484729)
NORTH CAROLINA,2021,11,6,,11,,40,,55,,,-,0,,,-,,-,NORTH CAROLINA,,20211134,POINT (-79.130883 35.52603)
GUAM,2021,11,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20211166,POINT (144.653198 13.3532)
NEW JERSEY,2021,11,,-,0,,,-,,-,,-,0,,,-,,-,NEW JERSEY,,20211110,POINT (-74.655514 40.110253)
NEW MEXICO,2021,11,,-,1,,,-,2,,,-,0,,,-,,-,NEW MEXICO,,20211154,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2021,11,,-,14,,2,,4,,,-,0,,,-,,-,,EAST NORTH CENTRAL,20211114,
TENNESSEE,2021,11,,-,0,,,-,,-,,-,0,,,-,,-,TENNESSEE,,20211142,POINT (-86.343226 35.842998)
CONNECTICUT,2021,11,,-,0,,,-,,-,,-,0,,,-,,-,CONNECTICUT,,20211103,POINT (-72.738288 41.575155)
MARYLAND,2021,11,,-,0,,,-,,-,,-,0,,,-,,-,MARYLAND,,20211133,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2021,11,,N,,NC,,N,,N,,-,0,,,-,,-,SOUTH CAROLINA,,20211135,POINT (-80.864614 33.878572)
OKLAHOMA,2021,11,,-,1,,3,,2,,,-,0,,,-,,-,OKLAHOMA,,20211146,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2021,11,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20211165,POINT (145.725693 15.1834)
OHIO,2021,11,,-,3,,1,,,-,,-,0,,,-,,-,OHIO,,20211118,POINT (-82.70936 40.415534)
MINNESOTA,2021,11,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20211123,POINT (-94.198308 46.349153)
LOUISIANA,2021,11,,-,0,,,-,,-,,-,0,,,-,,-,LOUISIANA,,20211145,POINT (-91.840238 30.921314)
HAWAII,2021,11,,-,0,,,-,,-,,-,0,,,-,,-,HAWAII,,20211160,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2021,11,6,,12,,57,,135,,,-,0,,,-,,-,,SOUTH ATLANTIC,20211128,
PENNSYLVANIA,2021,11,,-,0,,,-,,-,,-,0,,,-,,-,PENNSYLVANIA,,20211113,POINT (-77.838886 40.896694)
UTAH,2021,11,,-,3,,,-,,-,,-,0,,,-,,-,UTAH,,20211155,POINT (-111.678222 39.323779)
COLORADO,2021,11,,-,0,,,-,,-,,-,0,,,-,,-,COLORADO,,20211150,POINT (-105.547832 38.998552)
VERMONT,2021,11,,-,0,,,-,,-,,-,0,,,-,,-,VERMONT,,20211108,POINT (-72.662695 44.075252)
KENTUCKY,2021,11,,-,5,,,-,1,,,-,0,,,-,,-,KENTUCKY,,20211140,POINT (-85.290484 37.526683)
PUERTO RICO,2021,11,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20211167,POINT (-66.414655 18.215692)
MAINE,2021,11,1,,6,,9,,15,,,-,0,,,-,,-,MAINE,,20211104,POINT (-69.06137 45.117911)
VIRGINIA,2021,11,,-,0,,,-,,-,,-,0,,,-,,-,VIRGINIA,,20211136,POINT (-78.666382 37.510861)
ARIZONA,2021,11,,N,,NC,,N,,N,,-,0,,,-,,-,ARIZONA,,20211149,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2021,11,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20211164,
WISCONSIN,2021,11,,-,0,,,-,,-,,-,0,,,-,,-,WISCONSIN,,20211119,POINT (-89.732969 44.639954)
IDAHO,2021,11,,-,0,,,-,,-,,-,0,,,-,,-,IDAHO,,20211151,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2021,11,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20211168,POINT (-64.840836 18.060868)
MICHIGAN,2021,11,,-,6,,,-,2,,,-,0,,,-,,-,MICHIGAN,,20211117,POINT (-85.730977 44.874798)
GEORGIA,2021,11,,-,0,,,-,,-,,-,0,,,-,,-,GEORGIA,,20211132,POINT (-83.426574 32.638481)
NEW YORK CITY,2021,11,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY,20211112,
ARKANSAS,2021,11,,-,3,,3,,4,,,-,0,,,-,,-,ARKANSAS,,20211144,POINT (-92.439162 34.899825)
MISSISSIPPI,2021,11,,-,0,,,-,1,,,-,0,,,-,,-,MISSISSIPPI,,20211141,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2021,11,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20211127,POINT (-100.230491 44.43614)
WYOMING,2021,11,,-,5,,,-,3,,,-,0,,,-,,-,WYOMING,,20211156,POINT (-107.55145 42.999627)
MISSOURI,2021,11,,-,3,,1,,1,,,-,0,,,-,,-,MISSOURI,,20211124,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2021,11,2,,6,,35,,,-,,-,0,,,-,,-,,MIDDLE ATLANTIC,20211109,
CALIFORNIA,2021,11,,-,13,,,-,22,,,-,0,,,-,,-,CALIFORNIA,,20211159,POINT (-119.662127 37.211164)
WEST VIRGINIA,2021,11,,-,5,,1,,3,,,-,0,,,-,,-,WEST VIRGINIA,,20211137,POINT (-80.613729 38.642579)
FLORIDA,2021,11,,-,5,,16,,77,,,-,0,,,-,,-,FLORIDA,,20211131,POINT (-82.420978 28.260731)
MONTANA,2021,11,,-,2,,,-,1,,,-,0,,,-,,-,MONTANA,,20211152,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2021,11,,-,4,,2,,2,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20211120,
MASSACHUSETTS,2021,11,,-,0,,,-,,-,,-,0,,,-,,-,MASSACHUSETTS,,20211105,POINT (-71.481104 42.151077)
MOUNTAIN,2021,11,,-,11,,,-,6,,,-,0,,,-,,-,,MOUNTAIN,20211148,
INDIANA,2021,11,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20211116,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2021,11,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20211169,
US TERRITORIES,2021,11,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20211163,
WEST NORTH CENTRAL,2021,14,,-,4,,4,,3,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20211420,
MASSACHUSETTS,2021,14,,-,0,,,-,,-,,-,0,,,-,,-,MASSACHUSETTS,,20211405,POINT (-71.481104 42.151077)
MOUNTAIN,2021,14,,-,11,,,-,8,,,-,0,,,-,,-,,MOUNTAIN,20211448,
INDIANA,2021,14,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20211416,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2021,14,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20211469,
US TERRITORIES,2021,14,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20211463,
PENNSYLVANIA,2021,15,,-,0,,,-,,-,,-,0,,,-,,-,PENNSYLVANIA,,20211513,POINT (-77.838886 40.896694)
UTAH,2021,15,,-,3,,,-,,-,,-,0,,,-,,-,UTAH,,20211555,POINT (-111.678222 39.323779)
COLORADO,2021,15,,-,0,,,-,,-,,-,0,,,-,,-,COLORADO,,20211550,POINT (-105.547832 38.998552)
VERMONT,2021,15,,-,0,,,-,,-,,-,0,,,-,,-,VERMONT,,20211508,POINT (-72.662695 44.075252)
KENTUCKY,2021,15,,-,5,,,-,1,,,-,0,,,-,,-,KENTUCKY,,20211540,POINT (-85.290484 37.526683)
PUERTO RICO,2021,15,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20211567,POINT (-66.414655 18.215692)
MAINE,2021,15,,-,6,,14,,20,,,-,0,,,-,,-,MAINE,,20211504,POINT (-69.06137 45.117911)
VIRGINIA,2021,15,,-,0,,,-,,-,,-,0,,,-,,-,VIRGINIA,,20211536,POINT (-78.666382 37.510861)
ARIZONA,2021,15,,N,,NC,,N,,N,,-,0,,,-,,-,ARIZONA,,20211549,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2021,15,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20211564,
