Reporting Area,MMWR Year,MMWR Week,"Rabies, Animal, Current week","Rabies, Animal, Current week, flag","Rabies, Animal, Previous 52 weeks Max†","Rabies, Animal, Previous 52 weeks Max†, flag","Rabies, Animal, Cum 2021†","Rabies, Animal, Cum 2021†, flag","Rabies, Animal, Cum 2020†","Rabies, Animal, Cum 2020†, flag","Rabies, Human, Current week","Rabies, Human, Current week, flag","Rabies, Human, Previous 52 weeks Max†","Rabies, Human, Previous 52 weeks Max†, flag","Rabies, Human, Cum 2021†","Rabies, Human, Cum 2021†, flag","Rabies, Human, Cum 2020†","Rabies, Human, Cum 2020†, flag",Location 1,Location 2,Reporting Area Sort,geocode
UTAH,2021,10,,-,3,,,-,,-,,-,0,,,-,,-,UTAH,,20211055,POINT (-111.678222 39.323779)
COLORADO,2021,10,,-,0,,,-,,-,,-,0,,,-,,-,COLORADO,,20211050,POINT (-105.547832 38.998552)
VERMONT,2021,10,,-,0,,,-,,-,,-,0,,,-,,-,VERMONT,,20211008,POINT (-72.662695 44.075252)
KENTUCKY,2021,10,,-,5,,,-,1,,,-,0,,,-,,-,KENTUCKY,,20211040,POINT (-85.290484 37.526683)
PUERTO RICO,2021,10,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20211067,POINT (-66.414655 18.215692)
MAINE,2021,10,1,,6,,8,,13,,,-,0,,,-,,-,MAINE,,20211004,POINT (-69.06137 45.117911)
VIRGINIA,2021,10,,-,0,,,-,,-,,-,0,,,-,,-,VIRGINIA,,20211036,POINT (-78.666382 37.510861)
TOTAL,2021,4,10,,61,,35,,145,,,-,0,,,-,,-,,TOTAL,20210470,
US RESIDENTS,2021,4,10,,61,,35,,145,,,-,0,,,-,,-,,US RESIDENTS,20210401,
NEW HAMPSHIRE,2021,4,,-,4,,,-,3,,,-,0,,,-,,-,NEW HAMPSHIRE,,20210406,POINT (-71.57139 43.680429)
NEW YORK,2021,4,5,,26,,14,,17,,,-,0,,,-,,-,NEW YORK,,20210411,POINT (-75.59655 42.921241)
PACIFIC,2021,4,,-,13,,,-,4,,,-,0,,,-,,-,,PACIFIC,20210457,
WEST SOUTH CENTRAL,2021,4,1,,33,,9,,17,,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20210443,
NEBRASKA,2021,4,,-,4,,1,,,-,,-,0,,,-,,-,NEBRASKA,,20210425,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2021,4,,-,6,,,-,1,,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20210438,
NORTH DAKOTA,2021,4,,-,0,,,-,,-,,-,0,,,-,,-,NORTH DAKOTA,,20210426,POINT (-100.46931 47.446305)
NEVADA,2021,4,,-,2,,,-,,-,,-,0,,,-,,-,NEVADA,,20210453,POINT (-114.916992 39.283294)
ILLINOIS,2021,4,,-,6,,,-,,-,,-,0,,,-,,-,ILLINOIS,,20210415,POINT (-89.148632 40.124144)
