Reporting Area,MMWR Year,MMWR Week,"Rabies, Animal, Current week","Rabies, Animal, Current week, flag","Rabies, Animal, Previous 52 weeks Max†","Rabies, Animal, Previous 52 weeks Max†, flag","Rabies, Animal, Cum 2020†","Rabies, Animal, Cum 2020†, flag","Rabies, Animal, Cum 2019†","Rabies, Animal, Cum 2019†, flag","Rabies, Human, Current week","Rabies, Human, Current week, flag","Rabies, Human, Previous 52 weeks Max†","Rabies, Human, Previous 52 weeks Max†, flag","Rabies, Human, Cum 2020†","Rabies, Human, Cum 2020†, flag","Rabies, Human, Cum 2019†","Rabies, Human, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
AMERICAN SAMOA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200464,
WISCONSIN,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,WISCONSIN,,20200419,POINT (-89.732969 44.639954)
IDAHO,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,IDAHO,,20200451,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200468,POINT (-64.840836 18.060868)
MICHIGAN,2020,4,,-,6,,,-,1,,,-,0,,,-,,-,MICHIGAN,,20200417,POINT (-85.730977 44.874798)
GEORGIA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,GEORGIA,,20200432,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY,20200412,
ARKANSAS,2020,4,,-,7,,,-,,-,,-,0,,,-,,-,ARKANSAS,,20200444,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,4,,-,1,,,-,,-,,-,0,,,-,,-,MISSISSIPPI,,20200441,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,4,,-,4,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20200427,POINT (-100.230491 44.43614)
WYOMING,2020,4,,-,4,,,-,4,,,-,0,,,-,,-,WYOMING,,20200456,POINT (-107.55145 42.999627)
MISSOURI,2020,4,,-,4,,,-,1,,,-,0,,,-,,-,MISSOURI,,20200424,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,4,,-,27,,17,,14,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20200409,
CALIFORNIA,2020,4,,-,13,,,-,4,,,-,0,,,-,,-,CALIFORNIA,,20200459,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,4,,-,5,,,-,3,,,-,0,,,-,,-,WEST VIRGINIA,,20200437,POINT (-80.613729 38.642579)
FLORIDA,2020,4,1,,27,,6,,112,,,-,0,,,-,,-,FLORIDA,,20200431,POINT (-82.420978 28.260731)
MONTANA,2020,4,,-,4,,,-,,-,,-,0,,,-,,-,MONTANA,,20200452,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,4,,-,7,,,-,4,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20200420,
MASSACHUSETTS,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,MASSACHUSETTS,,20200405,POINT (-71.481104 42.151077)
MOUNTAIN,2020,4,,-,9,,2,,13,,,-,0,,,-,,-,,MOUNTAIN,20200448,
INDIANA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20200416,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200469,
US TERRITORIES,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200463,
MOUNTAIN,2020,5,,-,9,,,-,6,,,-,0,,,-,,-,,MOUNTAIN,20200548,
INDIANA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20200516,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200569,
US TERRITORIES,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200563,
TOTAL,2020,8,18,,75,,151,,311,,,-,0,,,-,,-,,TOTAL,20200870,
TOTAL,2020,7,17,,75,,131,,284,,,-,0,,,-,,-,,TOTAL,20200770,
US RESIDENTS,2020,7,17,,75,,131,,284,,,-,0,,,-,,-,,US RESIDENTS,20200701,
NEW HAMPSHIRE,2020,7,,-,3,,3,,2,,,-,0,,,-,,-,NEW HAMPSHIRE,,20200706,POINT (-71.57139 43.680429)
NEW YORK,2020,7,11,,27,,57,,45,,,-,0,,,-,,-,NEW YORK,,20200711,POINT (-75.59655 42.921241)
PACIFIC,2020,7,,-,13,,2,,13,,,-,0,,,-,,-,,PACIFIC,20200757,
WEST SOUTH CENTRAL,2020,7,1,,29,,16,,26,,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20200743,
NEBRASKA,2020,7,,-,3,,,-,,-,,-,0,,,-,,-,NEBRASKA,,20200725,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,7,,-,7,,2,,6,,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20200738,
NORTH DAKOTA,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,NORTH DAKOTA,,20200726,POINT (-100.46931 47.446305)
NEVADA,2020,7,,-,1,,,-,,-,,-,0,,,-,,-,NEVADA,,20200753,POINT (-114.916992 39.283294)
ILLINOIS,2020,7,,-,7,,1,,2,,,-,0,,,-,,-,ILLINOIS,,20200715,POINT (-89.148632 40.124144)
IOWA,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,IOWA,,20200721,POINT (-93.500061 42.074659)
TEXAS,2020,7,1,,29,,16,,22,,,-,0,,,-,,-,TEXAS,,20200747,POINT (-99.317341 31.447238)
